Tanggal,QTY
3/25/2018,555.5
3/26/2018,600
3/27/2018,704.5
3/28/2018,868
3/30/2018,470
3/31/2018,950
4/1/2018,396
4/2/2018,97
4/3/2018,301
4/4/2018,831
4/5/2018,50
4/6/2018,346
4/7/2018,80
4/8/2018,505
4/9/2018,590
4/10/2018,975.05
4/11/2018,2280
4/12/2018,720
4/15/2018,1695
4/16/2018,202
4/17/2018,1220
4/18/2018,870
4/19/2018,683
4/20/2018,605
4/22/2018,646
4/23/2018,190
4/24/2018,560
4/25/2018,237
4/26/2018,1515
4/28/2018,210
4/29/2018,725
4/30/2018,986
5/2/2018,270.5
5/3/2018,1082
5/4/2018,405
5/5/2018,446
5/6/2018,390
5/7/2018,1020
5/8/2018,2
5/9/2018,530
5/10/2018,687.5
5/11/2018,30
5/12/2018,663
5/13/2018,211
5/14/2018,792.5
5/15/2018,368
5/16/2018,449
5/17/2018,801
5/19/2018,280
5/20/2018,665
5/21/2018,1540
5/22/2018,566.75
5/23/2018,152.5
5/24/2018,334.55
5/25/2018,5
5/26/2018,550.5
5/27/2018,243.75
5/28/2018,513.5
5/29/2018,389
5/30/2018,313
5/31/2018,676.25
6/1/2018,184
6/2/2018,370
6/3/2018,1270
6/4/2018,855
6/5/2018,259.6
6/6/2018,132.5
6/7/2018,582
6/9/2018,385
6/10/2018,1110
6/11/2018,1040
6/12/2018,709
6/26/2018,12
6/30/2018,0.5
7/1/2018,1141
7/2/2018,25
7/3/2018,35
7/4/2018,430
7/5/2018,475.05
7/7/2018,100
7/8/2018,905
7/9/2018,470
7/10/2018,575
7/11/2018,420
7/12/2018,280
7/14/2018,425.5
7/15/2018,190
7/16/2018,455
7/17/2018,110
7/18/2018,14
7/19/2018,1720
7/22/2018,100
7/23/2018,260
7/24/2018,1095
7/25/2018,255
7/26/2018,615
7/28/2018,155
7/29/2018,390
7/31/2018,875
8/1/2018,515
8/2/2018,585
8/4/2018,513.5
8/5/2018,290
8/6/2018,295
8/7/2018,350.5
8/8/2018,35
8/9/2018,815
8/11/2018,275
8/12/2018,700
8/13/2018,90
8/14/2018,385
8/15/2018,285
8/19/2018,775
8/21/2018,425
8/26/2018,1062.25
8/27/2018,440
8/29/2018,25
8/30/2018,50
8/31/2018,0
9/1/2018,1
9/3/2018,160
9/4/2018,120
9/5/2018,500
9/6/2018,510
9/9/2018,1020
9/10/2018,110
9/13/2018,202
9/15/2018,0.05
9/17/2018,100
9/18/2018,315
9/19/2018,325
9/22/2018,45
9/23/2018,565
9/24/2018,160
9/25/2018,695
9/26/2018,415
9/27/2018,545
9/28/2018,2010
9/29/2018,0
9/30/2018,1690
10/1/2018,100
10/2/2018,235
10/3/2018,1070
10/4/2018,430
10/7/2018,775
10/8/2018,260
10/9/2018,395
10/13/2018,3
10/15/2018,487
10/16/2018,455
10/17/2018,30
10/18/2018,226.5
10/21/2018,200
10/22/2018,69
10/24/2018,370
10/25/2018,705
10/29/2018,285
10/31/2018,10
11/1/2018,90
11/3/2018,1
11/4/2018,620
11/5/2018,25
11/6/2018,355
11/7/2018,100
11/8/2018,90
11/11/2018,132.5
